COUNTY_ID,TOWN_ID,V_ID,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
10002,10002100,10002100-005,198,490,250,240,107Y09M
10002,10002100,10002100-017,671,1765,965,800,107Y09M
10002,10002100,10002100-015,609,1369,724,645,107Y09M
10002,10002100,10002100-010,1901,4821,2484,2337,107Y09M
10002,10002100,10002100-002,243,587,328,259,107Y09M
10002,10002100,10002100-003,286,846,463,383,107Y09M
10002,10002100,10002100-008,389,1013,554,459,107Y09M
10002,10002100,10002100-011,411,1001,533,468,107Y09M
10002,10002100,10002100-018,601,1611,881,730,107Y09M
10002,10002100,10002100-016,381,852,473,379,107Y09M
10002,10002100,10002100-009,661,1410,788,622,107Y09M
10002,10002100,10002100-001,100,222,128,94,107Y09M
10002,10002100,10002100-013,227,563,291,272,107Y09M
10002,10002100,10002100-007,501,1292,647,645,107Y09M
10002,10002100,10002100-014,358,813,453,360,107Y09M
10002,10002100,10002100-012,280,693,388,305,107Y09M
10002,10002100,10002100-006,574,1410,783,627,107Y09M
10002,10002100,10002100-004,257,644,361,283,107Y09M
10002,10002110,10002110-007,27,58,38,20,107Y09M
10002,10002110,10002110-008,298,1025,528,497,107Y09M
10002,10002110,10002110-003,257,843,464,379,107Y09M
10002,10002110,10002110-009,265,915,476,439,107Y09M
10002,10002110,10002110-010,69,254,137,117,107Y09M
10002,10002110,10002110-005,148,416,225,191,107Y09M
10002,10002110,10002110-002,228,797,428,369,107Y09M
10002,10002110,10002110-001,360,1133,598,535,107Y09M
10002,10002110,10002110-004,109,300,171,129,107Y09M
10002,10002110,10002110-006,159,497,268,229,107Y09M
10002,10002090,10002090-002,770,1988,966,1022,107Y09M
10002,10002090,10002090-001,855,2287,1205,1082,107Y09M
10002,10002090,10002090-004,750,1725,882,843,107Y09M
10002,10002090,10002090-009,1514,4183,2149,2034,107Y09M
10002,10002090,10002090-005,596,1438,726,712,107Y09M
10002,10002090,10002090-008,1588,4168,2166,2002,107Y09M
10002,10002090,10002090-006,1205,2739,1393,1346,107Y09M
10002,10002090,10002090-014,1335,3631,1875,1756,107Y09M
10002,10002090,10002090-013,815,2249,1148,1101,107Y09M
10002,10002090,10002090-011,653,1760,938,822,107Y09M
10002,10002090,10002090-010,1440,3739,1899,1840,107Y09M
10002,10002090,10002090-015,1136,3222,1684,1538,107Y09M
10002,10002090,10002090-007,786,1989,1050,939,107Y09M
10002,10002090,10002090-012,599,1613,861,752,107Y09M
10002,10002090,10002090-003,1037,2842,1495,1347,107Y09M
10002,10002080,10002080-012,339,1018,542,476,107Y09M
10002,10002080,10002080-004,338,1028,540,488,107Y09M
10002,10002080,10002080-013,567,1645,870,775,107Y09M
10002,10002080,10002080-024,338,906,515,391,107Y09M
10002,10002080,10002080-005,355,1027,557,470,107Y09M
10002,10002080,10002080-014,207,554,293,261,107Y09M
10002,10002080,10002080-011,614,1725,905,820,107Y09M
10002,10002080,10002080-009,318,808,420,388,107Y09M
10002,10002080,10002080-016,1330,3372,1694,1678,107Y09M
10002,10002080,10002080-010,285,874,443,431,107Y09M
10002,10002080,10002080-006,545,1668,855,813,107Y09M
10002,10002080,10002080-001,542,1338,710,628,107Y09M
10002,10002080,10002080-008,1338,3853,1936,1917,107Y09M
10002,10002080,10002080-023,788,1961,1010,951,107Y09M
10002,10002080,10002080-002,684,1933,965,968,107Y09M
10002,10002080,10002080-007,1245,3861,1911,1950,107Y09M
10002,10002080,10002080-020,485,1227,651,576,107Y09M
10002,10002080,10002080-018,1634,4472,2204,2268,107Y09M
10002,10002080,10002080-019,975,2711,1465,1246,107Y09M
10002,10002080,10002080-015,2123,5629,2899,2730,107Y09M
10002,10002080,10002080-017,2087,5237,2676,2561,107Y09M
10002,10002080,10002080-003,481,1372,714,658,107Y09M
10002,10002080,10002080-022,723,1888,960,928,107Y09M
10002,10002080,10002080-021,1062,2752,1387,1365,107Y09M
10002,10002060,10002060-013,716,1986,1028,958,107Y09M
10002,10002060,10002060-010,517,1407,735,672,107Y09M
10002,10002060,10002060-009,658,1796,963,833,107Y09M
10002,10002060,10002060-014,449,1197,624,573,107Y09M
10002,10002060,10002060-007,308,879,456,423,107Y09M
10002,10002060,10002060-001,1075,2908,1489,1419,107Y09M
10002,10002060,10002060-008,956,2699,1433,1266,107Y09M
10002,10002060,10002060-004,384,1095,581,514,107Y09M
10002,10002060,10002060-011,981,2513,1356,1157,107Y09M
10002,10002060,10002060-002,772,2067,1099,968,107Y09M
10002,10002060,10002060-005,633,1819,967,852,107Y09M
10002,10002060,10002060-012,447,1164,632,532,107Y09M
10002,10002060,10002060-003,417,1075,584,491,107Y09M
10002,10002060,10002060-006,609,1717,901,816,107Y09M
10002,10002010,10002010-016,542,1757,919,838,107Y09M
10002,10002010,10002010-043,1189,3148,1471,1677,107Y09M
10002,10002010,10002010-045,380,867,425,442,107Y09M
10002,10002010,10002010-021,738,1830,901,929,107Y09M
10002,10002010,10002010-031,480,1065,528,537,107Y09M
10002,10002010,10002010-046,1297,3525,1668,1857,107Y09M
10002,10002010,10002010-039,1460,3831,1830,2001,107Y09M
10002,10002010,10002010-028,494,1333,696,637,107Y09M
10002,10002010,10002010-026,944,2631,1284,1347,107Y09M
10002,10002010,10002010-036,1080,2810,1339,1471,107Y09M
10002,10002010,10002010-002,1007,2055,1038,1017,107Y09M
10002,10002010,10002010-041,1395,3880,1872,2008,107Y09M
10002,10002010,10002010-032,757,1981,1027,954,107Y09M
10002,10002010,10002010-023,525,1325,694,631,107Y09M
10002,10002010,10002010-015,1438,4162,2011,2151,107Y09M
10002,10002010,10002010-014,957,2770,1383,1387,107Y09M
10002,10002010,10002010-019,491,1111,584,527,107Y09M
10002,10002010,10002010-034,646,1681,824,857,107Y09M
10002,10002010,10002010-011,1093,2569,1245,1324,107Y09M
10002,10002010,10002010-009,514,1497,791,706,107Y09M
10002,10002010,10002010-037,739,1949,920,1029,107Y09M
10002,10002010,10002010-010,786,2140,1080,1060,107Y09M
10002,10002010,10002010-038,1996,5254,2492,2762,107Y09M
10002,10002010,10002010-035,1419,3741,1747,1994,107Y09M
10002,10002010,10002010-044,928,2557,1169,1388,107Y09M
10002,10002010,10002010-001,1260,3036,1475,1561,107Y09M
10002,10002010,10002010-025,876,2424,1194,1230,107Y09M
10002,10002010,10002010-027,1254,3665,1874,1791,107Y09M
10002,10002010,10002010-012,514,1537,811,726,107Y09M
10002,10002010,10002010-040,1346,3101,1467,1634,107Y09M
10002,10002010,10002010-022,651,1497,724,773,107Y09M
10002,10002010,10002010-008,1031,2448,1187,1261,107Y09M
10002,10002010,10002010-017,820,2093,987,1106,107Y09M
10002,10002010,10002010-018,791,1790,900,890,107Y09M
10002,10002010,10002010-024,1096,3041,1526,1515,107Y09M
10002,10002010,10002010-042,1410,3931,1840,2091,107Y09M
10002,10002010,10002010-013,760,2274,1129,1145,107Y09M
10002,10002010,10002010-047,1454,3464,1610,1854,107Y09M
10002,10002120,10002120-003,177,573,273,300,107Y09M
10002,10002120,10002120-005,198,543,299,244,107Y09M
10002,10002120,10002120-004,182,572,281,291,107Y09M
10002,10002120,10002120-006,225,623,328,295,107Y09M
10002,10002120,10002120-001,498,1494,774,720,107Y09M
10002,10002120,10002120-002,392,1260,645,615,107Y09M
10002,10002120,10002120-007,300,961,508,453,107Y09M
10002,10002070,10002070-004,590,1719,915,804,107Y09M
10002,10002070,10002070-008,301,706,415,291,107Y09M
10002,10002070,10002070-007,668,1745,890,855,107Y09M
10002,10002070,10002070-009,724,2098,1097,1001,107Y09M
10002,10002070,10002070-012,941,2802,1520,1282,107Y09M
10002,10002070,10002070-002,915,2440,1301,1139,107Y09M
10002,10002070,10002070-011,923,2643,1456,1187,107Y09M
10002,10002070,10002070-001,2437,6506,3267,3239,107Y09M
10002,10002070,10002070-005,853,2116,1117,999,107Y09M
10002,10002070,10002070-003,648,1884,992,892,107Y09M
10002,10002070,10002070-015,402,1143,621,522,107Y09M
10002,10002070,10002070-016,595,1583,890,693,107Y09M
10002,10002070,10002070-013,366,1010,520,490,107Y09M
10002,10002070,10002070-014,376,985,563,422,107Y09M
10002,10002070,10002070-006,492,1353,738,615,107Y09M
10002,10002070,10002070-010,510,1549,820,729,107Y09M
10002,10002040,10002040-023,483,1310,685,625,107Y09M
10002,10002040,10002040-021,391,1074,579,495,107Y09M
10002,10002040,10002040-009,519,1572,778,794,107Y09M
10002,10002040,10002040-002,273,781,391,390,107Y09M
10002,10002040,10002040-003,363,1008,516,492,107Y09M
10002,10002040,10002040-022,383,1203,628,575,107Y09M
10002,10002040,10002040-006,351,1006,540,466,107Y09M
10002,10002040,10002040-001,128,313,167,146,107Y09M
10002,10002040,10002040-004,154,376,207,169,107Y09M
10002,10002040,10002040-014,821,2507,1284,1223,107Y09M
10002,10002040,10002040-005,529,1516,757,759,107Y09M
10002,10002040,10002040-016,880,2441,1228,1213,107Y09M
10002,10002040,10002040-008,645,1872,920,952,107Y09M
10002,10002040,10002040-019,277,803,445,358,107Y09M
10002,10002040,10002040-018,708,1970,1058,912,107Y09M
10002,10002040,10002040-011,214,587,309,278,107Y09M
10002,10002040,10002040-012,222,644,332,312,107Y09M
10002,10002040,10002040-010,323,812,407,405,107Y09M
10002,10002040,10002040-013,274,744,368,376,107Y09M
10002,10002040,10002040-020,550,1576,820,756,107Y09M
10002,10002040,10002040-007,310,790,402,388,107Y09M
10002,10002040,10002040-015,868,2402,1241,1161,107Y09M
10002,10002040,10002040-017,379,1099,595,504,107Y09M
10002,10002040,10002040-024,234,794,388,406,107Y09M
10002,10002050,10002050-018,201,475,263,212,107Y09M
10002,10002050,10002050-007,543,1396,759,637,107Y09M
