COUNTY_ID	TOWN_ID	V_ID	H_CNT	P_CNT	M_CNT	F_CNT	INFO_TIME
10002	10002100	10002100-005	202	506	261	245	106Y12M
10002	10002100	10002100-017	676	1784	980	804	106Y12M
10002	10002100	10002100-015	588	1308	702	606	106Y12M
10002	10002100	10002100-010	1913	4825	2500	2325	106Y12M
10002	10002100	10002100-002	243	611	340	271	106Y12M
10002	10002100	10002100-003	290	838	457	381	106Y12M
10002	10002100	10002100-008	388	1030	558	472	106Y12M
10002	10002100	10002100-011	411	989	524	465	106Y12M
10002	10002100	10002100-018	591	1636	894	742	106Y12M
10002	10002100	10002100-016	380	857	468	389	106Y12M
10002	10002100	10002100-009	655	1425	807	618	106Y12M
10002	10002100	10002100-001	102	227	127	100	106Y12M
10002	10002100	10002100-013	218	548	292	256	106Y12M
10002	10002100	10002100-007	494	1323	665	658	106Y12M
10002	10002100	10002100-014	353	826	459	367	106Y12M
10002	10002100	10002100-012	272	687	387	300	106Y12M
10002	10002100	10002100-006	557	1387	769	618	106Y12M
10002	10002100	10002100-004	255	660	375	285	106Y12M
10002	10002110	10002110-007	28	63	41	22	106Y12M
10002	10002110	10002110-008	296	995	525	470	106Y12M
10002	10002110	10002110-003	254	843	464	379	106Y12M
10002	10002110	10002110-009	264	863	458	405	106Y12M
10002	10002110	10002110-010	70	242	131	111	106Y12M
10002	10002110	10002110-005	148	412	225	187	106Y12M
10002	10002110	10002110-002	221	768	419	349	106Y12M
10002	10002110	10002110-001	358	1124	587	537	106Y12M
10002	10002110	10002110-004	107	308	174	134	106Y12M
10002	10002110	10002110-006	155	484	268	216	106Y12M
10002	10002090	10002090-002	771	2029	1006	1023	106Y12M
10002	10002090	10002090-001	850	2291	1205	1086	106Y12M
10002	10002090	10002090-004	747	1747	893	854	106Y12M
10002	10002090	10002090-009	1501	4132	2129	2003	106Y12M
10002	10002090	10002090-005	587	1448	734	714	106Y12M
10002	10002090	10002090-008	1575	4161	2158	2003	106Y12M
10002	10002090	10002090-006	1165	2693	1356	1337	106Y12M
10002	10002090	10002090-014	1323	3628	1871	1757	106Y12M
10002	10002090	10002090-013	812	2252	1155	1097	106Y12M
10002	10002090	10002090-011	653	1747	925	822	106Y12M
10002	10002090	10002090-010	1435	3770	1931	1839	106Y12M
10002	10002090	10002090-015	1141	3239	1703	1536	106Y12M
10002	10002090	10002090-007	785	2047	1080	967	106Y12M
10002	10002090	10002090-012	596	1626	867	759	106Y12M
10002	10002090	10002090-003	1039	2863	1492	1371	106Y12M
10002	10002080	10002080-012	331	1002	535	467	106Y12M
10002	10002080	10002080-004	345	1040	545	495	106Y12M
10002	10002080	10002080-013	558	1628	857	771	106Y12M
10002	10002080	10002080-024	336	916	524	392	106Y12M
10002	10002080	10002080-005	357	1040	564	476	106Y12M
10002	10002080	10002080-014	206	556	292	264	106Y12M
10002	10002080	10002080-011	617	1730	906	824	106Y12M
10002	10002080	10002080-009	326	845	444	401	106Y12M
10002	10002080	10002080-016	1331	3431	1717	1714	106Y12M
10002	10002080	10002080-010	282	870	427	443	106Y12M
10002	10002080	10002080-006	543	1667	848	819	106Y12M
10002	10002080	10002080-001	538	1328	710	618	106Y12M
10002	10002080	10002080-008	1337	3913	1965	1948	106Y12M
10002	10002080	10002080-023	782	1977	1020	957	106Y12M
10002	10002080	10002080-002	664	1906	957	949	106Y12M
10002	10002080	10002080-007	1222	3858	1908	1950	106Y12M
10002	10002080	10002080-020	484	1243	662	581	106Y12M
10002	10002080	10002080-018	1629	4483	2212	2271	106Y12M
10002	10002080	10002080-019	964	2722	1471	1251	106Y12M
10002	10002080	10002080-015	2109	5726	2951	2775	106Y12M
10002	10002080	10002080-017	2076	5321	2705	2616	106Y12M
10002	10002080	10002080-003	496	1359	707	652	106Y12M
10002	10002080	10002080-022	731	1912	961	951	106Y12M
10002	10002080	10002080-021	1064	2816	1419	1397	106Y12M
10002	10002060	10002060-013	705	1977	1029	948	106Y12M
10002	10002060	10002060-010	515	1415	744	671	106Y12M
10002	10002060	10002060-009	642	1761	942	819	106Y12M
10002	10002060	10002060-014	448	1194	627	567	106Y12M
10002	10002060	10002060-007	306	899	464	435	106Y12M
10002	10002060	10002060-001	1061	2879	1465	1414	106Y12M
10002	10002060	10002060-008	947	2665	1404	1261	106Y12M
10002	10002060	10002060-004	384	1095	591	504	106Y12M
10002	10002060	10002060-011	976	2510	1361	1149	106Y12M
10002	10002060	10002060-002	762	2067	1100	967	106Y12M
10002	10002060	10002060-005	632	1828	968	860	106Y12M
10002	10002060	10002060-012	447	1164	633	531	106Y12M
10002	10002060	10002060-003	417	1062	579	483	106Y12M
10002	10002060	10002060-006	608	1734	909	825	106Y12M
10002	10002010	10002010-016	537	1755	922	833	106Y12M
10002	10002010	10002010-043	1177	3163	1471	1692	106Y12M
10002	10002010	10002010-045	374	870	423	447	106Y12M
10002	10002010	10002010-021	683	1770	895	875	106Y12M
10002	10002010	10002010-031	476	1051	518	533	106Y12M
10002	10002010	10002010-046	1284	3534	1678	1856	106Y12M
